accession	reason
SRR14320406	busco_completeness_below_0.5
SRR14354850	busco_completeness_below_0.5
SRR1438228	busco_completeness_below_0.5
SRR14480052	busco_completeness_below_0.5
SRR14493599	busco_completeness_below_0.5
SRR14561442	busco_completeness_below_0.5
SRR15143244	busco_completeness_below_0.5
SRR15195266	busco_completeness_below_0.5
SRR15195624	busco_completeness_below_0.5
SRR15204660	busco_completeness_below_0.5
SRR15206984	busco_completeness_below_0.5
SRR15221490	busco_completeness_below_0.5
SRR15294823	busco_completeness_below_0.5
SRR15294965	busco_completeness_below_0.5
SRR15295023	busco_completeness_below_0.5
SRR15538961	busco_completeness_below_0.5
SRR15676288	busco_completeness_below_0.5
SRR15693952	busco_completeness_below_0.5
SRR15709775	busco_completeness_below_0.5
SRR15728942	busco_completeness_below_0.5
SRR15890667	busco_completeness_below_0.5
SRR15891021	busco_completeness_below_0.5
SRR15897252	busco_completeness_below_0.5
SRR1592477	missing_busco_summary
SRR16148388	busco_completeness_below_0.5
SRR16148393	busco_completeness_below_0.5
SRR16148394	busco_completeness_below_0.5
SRR16148399	busco_completeness_below_0.5
SRR16148401	busco_completeness_below_0.5
SRR16157109	busco_completeness_below_0.5
SRR16157111	busco_completeness_below_0.5
SRR16157113	busco_completeness_below_0.5
SRR16157120	busco_completeness_below_0.5
SRR16190347	busco_completeness_below_0.5
SRR16508136	busco_completeness_below_0.5
SRR16508332	busco_completeness_below_0.5
SRR1653290	busco_completeness_below_0.5
SRR1653607	busco_completeness_below_0.5
SRR16572822	busco_completeness_below_0.5
SRR16599359	busco_completeness_below_0.5
SRR16757912	busco_completeness_below_0.5
SRR16767625	busco_completeness_below_0.5
SRR16883148	busco_completeness_below_0.5
SRR16889012	busco_completeness_below_0.5
SRR16938193	busco_completeness_below_0.5
SRR16961110	busco_completeness_below_0.5
SRR16991867	busco_completeness_below_0.5
SRR17073187	busco_completeness_below_0.5
SRR1713304	busco_completeness_below_0.5
SRR17179813	busco_completeness_below_0.5
SRR17201904	busco_completeness_below_0.5
SRR17224334	busco_completeness_below_0.5
SRR17245885	busco_completeness_below_0.5
SRR17284690	busco_completeness_below_0.5
SRR17665623	busco_completeness_below_0.5
SRR18094572	busco_completeness_below_0.5
SRR18139183	busco_completeness_below_0.5
SRR18392363	busco_completeness_below_0.5
SRR18449574	busco_completeness_below_0.5
SRR18449582	busco_completeness_below_0.5
SRR18449583	busco_completeness_below_0.5
SRR18449624	busco_completeness_below_0.5
SRR18554143	busco_completeness_below_0.5
SRR18794126	busco_completeness_below_0.5
SRR18904434	busco_completeness_below_0.5
SRR18909619	busco_completeness_below_0.5
SRR18909661	busco_completeness_below_0.5
SRR18909664	busco_completeness_below_0.5
SRR18909666	busco_completeness_below_0.5
SRR18909683	busco_completeness_below_0.5
SRR18909693	busco_completeness_below_0.5
SRR19034919	busco_completeness_below_0.5
SRR19179837	busco_completeness_below_0.5
SRR19179844	busco_completeness_below_0.5
SRR19179857	busco_completeness_below_0.5
SRR19182624	busco_completeness_below_0.5
SRR19237483	busco_completeness_below_0.5
SRR19237484	busco_completeness_below_0.5
SRR19266734	busco_completeness_below_0.5
SRR19266759	busco_completeness_below_0.5
SRR19360591	busco_completeness_below_0.5
SRR19403477	busco_completeness_below_0.5
SRR19403486	busco_completeness_below_0.5
SRR19549402	busco_completeness_below_0.5
SRR19725864	busco_completeness_below_0.5
SRR20083569	busco_completeness_below_0.5
SRR20212004	busco_completeness_below_0.5
SRR2052640	busco_completeness_below_0.5
SRR20727352	busco_completeness_below_0.5
SRR2093712	busco_completeness_below_0.5
SRR21236231	busco_completeness_below_0.5
SRR21427574	busco_completeness_below_0.5
SRR2153899	busco_completeness_below_0.5
SRR21589274	busco_completeness_below_0.5
SRR21619435	busco_completeness_below_0.5
SRR21619438	busco_completeness_below_0.5
SRR21619451	busco_completeness_below_0.5
SRR21901532	busco_completeness_below_0.5
SRR22045962	busco_completeness_below_0.5
SRR22058076	busco_completeness_below_0.5
SRR22114997	busco_completeness_below_0.5
SRR22404876	busco_completeness_below_0.5
SRR22437284	busco_completeness_below_0.5
SRR22827399	busco_completeness_below_0.5
SRR22863580	busco_completeness_below_0.5
SRR22947415	busco_completeness_below_0.5
SRR2296978	busco_completeness_below_0.5
SRR23584197	busco_completeness_below_0.5
SRR23719576	busco_completeness_below_0.5
SRR24181929	busco_completeness_below_0.5
SRR24273507	busco_completeness_below_0.5
SRR24424923	busco_completeness_below_0.5
SRR24630295	busco_completeness_below_0.5
SRR24911327	busco_completeness_below_0.5
SRR24956619	busco_completeness_below_0.5
SRR25056927	busco_completeness_below_0.5
SRR25056929	busco_completeness_below_0.5
SRR25056931	busco_completeness_below_0.5
SRR25056933	busco_completeness_below_0.5
SRR25056935	busco_completeness_below_0.5
